game_pk,half_inning,label,inning_topbot,inning,game_date,pitcher,team,season,hits_allowed,walks,strikeouts,batters_faced,runs_allowed,ERA_season,WHIP_season,FIP_season,K/9_season,BB/9_season,xFIP_season,CSW%_season,xERA_season,runs_rolling10_team,OBP_team,SLG_team,K_rate_team,BB_rate_team,is_home_team
716377,Top_1st,0,Top,1,2023-09-30,502043,BOS,2023,7,1,4,9,0,4.73,1.32,4.13,7.36,2.58,4.13,0.272,4.8,0.3,0.2162162162162162,0.2352941176470588,0.2432432432432432,0.081081081081081,False
716382,Bot_1st,1,Bot,1,2023-09-29,458681,SF,2023,2,4,4,9,2,5.73,1.39,5.53,9.36,3.28,4.5,0.265,4.86,0.4,0.3076923076923077,0.5,0.2564102564102564,0.1025641025641025,True
716384,Top_1st,1,Top,1,2023-09-29,668678,HOU,2023,7,1,7,9,2,3.47,1.12,3.26,9.43,2.01,3.49,0.285,4.16,0.5,0.3695652173913043,0.5238095238095238,0.1739130434782608,0.0869565217391304,False
716389,Top_1st,0,Top,1,2023-09-29,543475,NYY,2023,4,1,4,9,5,6.28,1.24,5.62,6.08,2.28,5.34,0.238,4.93,0.4,0.3095238095238095,0.3513513513513513,0.2619047619047619,0.119047619047619,False
716391,Top_1st,0,Top,1,2023-09-29,656302,SD,2023,4,1,7,9,1,4.58,1.42,3.72,10.88,4.02,4.08,0.291,4.1,0.7,0.2857142857142857,0.4736842105263157,0.2142857142857142,0.0476190476190476,False
716392,Top_1st,1,Top,1,2023-09-29,579328,TB,2023,5,2,4,9,2,3.86,1.27,4.12,9.72,2.58,3.77,0.2789999999999999,4.3,1.4,0.4423076923076923,0.75,0.2307692307692307,0.1153846153846153,False
716396,Top_1st,0,Top,1,2023-09-28,669203,STL,2023,5,1,4,9,0,3.39,1.07,3.81,9.29,3.07,3.8,0.292,3.38,0.3,0.3255813953488372,0.3684210526315789,0.1627906976744186,0.0930232558139534,False
716397,Bot_1st,0,Bot,1,2023-09-28,656756,SEA,2023,5,2,5,9,1,3.2,1.19,3.56,7.92,2.29,4.01,0.28,3.98,0.1,0.2051282051282051,0.25,0.2564102564102564,0.1282051282051282,True
716397,Top_1st,0,Top,1,2023-09-28,669302,TEX,2023,3,0,5,9,2,3.73,1.08,3.85,8.92,1.7,3.76,0.271,3.69,0.4,0.325,0.5945945945945946,0.175,0.075,False
716400,Top_1st,1,Top,1,2023-09-28,543243,OAK,2023,3,1,4,9,1,2.79,1.15,2.83,8.95,2.69,3.64,0.2789999999999999,3.66,0.1,0.2926829268292683,0.2432432432432432,0.2682926829268293,0.0975609756097561,False
716402,Top_1st,0,Top,1,2023-09-28,665152,BOS,2023,2,1,8,9,0,4.12,1.31,4.51,8.18,2.87,4.34,0.261,4.93,0.3,0.2432432432432432,0.2647058823529412,0.1891891891891892,0.081081081081081,False
716403,Top_1st,0,Top,1,2023-09-28,605135,NYY,2023,5,0,12,9,0,3.6,1.18,4.28,8.37,2.66,4.21,0.28,4.04,0.4,0.3255813953488372,0.3513513513513513,0.2558139534883721,0.1395348837209302,False
716404,Bot_1st,1,Bot,1,2023-09-28,666200,NYM,2023,4,1,10,10,0,3.58,1.21,3.55,10.48,2.77,3.72,0.299,3.96,0.3,0.25,0.3333333333333333,0.25,0.0681818181818181,True
716407,Bot_1st,1,Bot,1,2023-09-27,664285,SEA,2023,5,5,7,9,3,3.45,1.13,3.5,9.09,2.59,3.39,0.281,4.3,0.1,0.225,0.303030303030303,0.225,0.125,True
716409,Top_1st,0,Top,1,2023-09-28,554430,PIT,2023,4,1,5,9,1,3.61,1.08,3.15,9.94,1.83,3.54,0.275,3.18,0.3,0.2564102564102564,0.2222222222222222,0.4102564102564102,0.0769230769230769,False
716410,Top_1st,1,Top,1,2023-09-27,641154,OAK,2023,5,1,6,9,1,3.66,1.15,3.33,10.86,2.23,3.28,0.301,3.0,0.1,0.2926829268292683,0.2432432432432432,0.2926829268292683,0.0975609756097561,False
716413,Bot_1st,0,Bot,1,2023-09-27,543037,TOR,2023,2,0,5,9,0,2.63,0.98,3.16,9.56,2.07,3.6,0.2769999999999999,3.48,0.1,0.1470588235294117,0.1612903225806451,0.3235294117647059,0.088235294117647,True
716413,Top_1st,0,Top,1,2023-09-27,621244,NYY,2023,5,2,10,9,4,3.65,1.19,3.99,8.73,2.47,4.01,0.294,4.51,0.7,0.3958333333333333,0.4102564102564102,0.2291666666666666,0.1875,False
716415,Bot_1st,1,Bot,1,2023-09-27,670912,PHI,2023,7,3,6,9,6,4.31,1.37,4.49,8.0,4.2,4.87,0.265,4.61,0.3,0.4,0.21875,0.2,0.2666666666666666,True
716416,Bot_1st,1,Bot,1,2023-09-27,571578,BAL,2023,6,4,2,9,4,5.2,1.48,5.28,6.2,2.85,4.76,0.25,6.16,0.7,0.3478260869565217,0.5952380952380952,0.217391304347826,0.0652173913043478,True
716420,Bot_1st,0,Bot,1,2023-09-27,641540,LAA,2023,3,1,7,9,0,3.7,1.26,4.27,7.3,2.87,4.39,0.2739999999999999,4.48,0.5,0.3023255813953488,0.3809523809523809,0.3953488372093023,0.0232558139534883,True
716423,Bot_1st,1,Bot,1,2023-09-26,571945,MIL,2023,5,2,5,10,1,4.78,1.32,4.27,6.12,1.74,4.76,0.25,5.44,0.6,0.44,0.4358974358974359,0.14,0.2,True
716425,Bot_1st,0,Bot,1,2023-09-26,664299,SEA,2023,3,3,6,9,2,4.56,1.27,4.58,8.83,3.44,5.16,0.252,4.42,0.0,0.2051282051282051,0.1875,0.2051282051282051,0.1282051282051282,True
716425,Top_1st,1,Top,1,2023-09-26,669923,HOU,2023,5,0,4,9,0,3.35,1.04,3.34,8.12,0.9,3.63,0.273,3.9,0.5,0.3478260869565217,0.5,0.1956521739130435,0.0869565217391304,False
716428,Bot_1st,0,Bot,1,2023-09-26,621107,BOS,2023,5,0,4,9,3,3.5,1.02,3.01,9.42,1.22,3.12,0.302,3.02,0.3,0.2702702702702703,0.3428571428571428,0.1081081081081081,0.054054054054054,True
716429,Bot_1st,1,Bot,1,2023-09-26,657006,ATL,2023,6,1,6,9,2,3.06,1.17,3.02,9.14,1.87,3.32,0.262,3.5,0.7,0.3333333333333333,0.7555555555555555,0.1875,0.0416666666666666,True
716429,Top_1st,0,Top,1,2023-09-26,693821,CHC,2023,7,4,2,9,5,3.81,1.28,4.42,6.6,3.25,4.49,0.264,4.61,0.4,0.3333333333333333,0.3714285714285714,0.238095238095238,0.1666666666666666,False
716430,Top_1st,1,Top,1,2023-09-27,673540,MIA,2023,3,3,8,9,2,2.98,1.22,3.63,10.93,4.17,3.77,0.28,3.87,1.1,0.4259259259259259,0.723404255319149,0.2222222222222222,0.1296296296296296,False
716431,Top_1st,0,Top,1,2023-09-26,592332,NYY,2023,3,2,5,9,0,3.16,1.18,2.97,11.53,2.68,3.22,0.296,3.85,0.7,0.42,0.4102564102564102,0.24,0.22,False
716432,Bot_1st,0,Bot,1,2023-09-26,656605,PHI,2023,3,2,6,9,2,4.21,1.25,3.8,9.73,2.55,3.7,0.283,4.18,0.4,0.4090909090909091,0.25,0.1818181818181818,0.25,True
716432,Top_1st,0,Top,1,2023-09-26,605400,PIT,2023,4,0,8,9,1,4.46,1.15,4.03,9.39,2.09,3.63,0.296,3.71,0.3,0.3181818181818182,0.3055555555555556,0.3863636363636363,0.1590909090909091,False
716434,Top_1st,0,Top,1,2023-09-26,680694,WSH,2023,3,2,4,9,0,2.83,1.04,3.27,8.96,2.35,3.53,0.291,3.77,0.4,0.2888888888888888,0.4878048780487805,0.2666666666666666,0.0666666666666666,False
716435,Top_1st,0,Top,1,2023-09-26,608337,CIN,2023,4,5,5,9,5,4.88,1.31,5.27,9.96,3.56,4.45,0.288,4.61,0.4,0.3095238095238095,0.3428571428571428,0.2142857142857142,0.1666666666666666,False
716436,Bot_1st,0,Bot,1,2023-09-25,434378,SEA,2023,3,1,8,9,0,3.22,1.13,3.85,7.98,2.49,4.56,0.259,3.63,0.0,0.225,0.2121212121212121,0.2,0.125,True
716436,Top_1st,1,Top,1,2023-09-25,622491,HOU,2023,8,1,8,9,5,3.34,1.1,3.81,10.01,2.56,3.81,0.29,3.79,0.5,0.3333333333333333,0.4878048780487805,0.2,0.0888888888888888,False
716439,Top_1st,1,Top,1,2023-09-24,458681,SF,2023,5,3,6,10,2,5.73,1.39,5.53,9.36,3.28,4.5,0.265,4.86,0.4,0.2619047619047619,0.4210526315789473,0.3095238095238095,0.0714285714285714,False
716441,Bot_1st,1,Bot,1,2023-09-25,605483,SF,2023,4,3,7,9,0,2.25,1.19,3.44,11.7,4.95,3.62,0.308,3.77,0.3,0.2051282051282051,0.3888888888888889,0.3076923076923077,0.0512820512820512,True
716441,Top_1st,1,Top,1,2023-09-25,657277,SD,2023,9,1,7,10,1,3.25,1.07,3.16,8.08,1.29,2.95,0.293,3.63,1.0,0.4,0.55,0.12,0.14,False
716442,Top_1st,1,Top,1,2023-09-24,676664,DET,2023,6,2,7,9,2,4.54,1.26,5.15,8.41,2.77,5.1,0.255,4.64,0.4,0.2954545454545454,0.475,0.3636363636363636,0.0681818181818181,False
716447,Bot_1st,1,Bot,1,2023-09-24,642547,MIA,2023,9,0,4,9,4,3.86,1.12,3.85,11.41,2.93,3.42,0.294,3.35,1.1,0.4509803921568627,0.75,0.2549019607843137,0.1176470588235294,True
716450,Bot_1st,1,Bot,1,2023-09-24,502043,CLE,2023,5,2,4,9,1,4.73,1.32,4.13,7.36,2.58,4.13,0.272,4.8,0.2,0.3414634146341463,0.3333333333333333,0.1463414634146341,0.0975609756097561,True
716452,Bot_1st,1,Bot,1,2023-09-24,579328,TB,2023,9,0,7,10,3,3.86,1.27,4.12,9.72,2.58,3.77,0.2789999999999999,4.3,1.1,0.3695652173913043,0.675,0.3695652173913043,0.108695652173913,True
716455,Bot_1st,0,Bot,1,2023-09-23,543475,HOU,2023,2,2,3,9,0,6.28,1.24,5.62,6.08,2.28,5.34,0.238,4.93,0.5,0.3181818181818182,0.4102564102564102,0.2272727272727272,0.1136363636363636,True
716458,Bot_1st,1,Bot,1,2023-09-24,668678,NYY,2023,3,2,8,9,0,3.47,1.12,3.26,9.43,2.01,3.49,0.285,4.16,0.7,0.3859649122807017,0.3695652173913043,0.2631578947368421,0.1929824561403508,True
716460,Top_1st,0,Top,1,2023-09-23,666200,MIL,2023,2,3,4,9,1,3.58,1.21,3.55,10.48,2.77,3.72,0.299,3.96,0.6,0.4166666666666667,0.4054054054054054,0.1458333333333333,0.2083333333333333,False
716461,Bot_1st,0,Bot,1,2023-09-23,669302,TEX,2023,5,3,2,9,2,3.73,1.08,3.85,8.92,1.7,3.76,0.271,3.69,0.2,0.2564102564102564,0.5,0.1794871794871795,0.0769230769230769,True
716461,Top_1st,1,Top,1,2023-09-23,656756,SEA,2023,5,2,6,9,0,3.2,1.19,3.56,7.92,2.29,4.01,0.28,3.98,0.3,0.3111111111111111,0.3513513513513513,0.1777777777777777,0.1111111111111111,False
716465,Top_1st,1,Top,1,2023-09-23,543243,LAA,2023,4,0,8,9,1,2.79,1.15,2.83,8.95,2.69,3.64,0.2789999999999999,3.66,0.2,0.2682926829268293,0.2307692307692307,0.3414634146341463,0.048780487804878,False
716466,Top_1st,1,Top,1,2023-09-23,554430,NYM,2023,8,2,5,9,5,3.61,1.08,3.15,9.94,1.83,3.54,0.275,3.18,0.2,0.2682926829268293,0.2777777777777778,0.2195121951219512,0.073170731707317,False
716467,Bot_1st,1,Bot,1,2023-09-24,675911,WSH,2023,7,1,4,9,4,3.86,1.09,2.85,13.55,2.8,2.92,0.3379999999999999,3.09,0.4,0.3043478260869565,0.5121951219512195,0.2826086956521739,0.0652173913043478,True
716468,Bot_1st,0,Bot,1,2023-09-23,656302,BOS,2023,6,0,11,9,0,4.58,1.42,3.72,10.88,4.02,4.08,0.291,4.1,0.6,0.3584905660377358,0.4693877551020408,0.1886792452830188,0.0754716981132075,True
716471,Bot_1st,1,Bot,1,2023-09-25,518876,NYY,2023,4,2,5,9,2,3.29,1.19,3.85,9.47,3.5,3.83,0.276,4.1,0.7,0.3962264150943396,0.3953488372093023,0.2452830188679245,0.1886792452830188,True
716473,Top_1st,1,Top,1,2023-09-22,664285,KC,2023,4,5,10,9,7,3.45,1.13,3.5,9.09,2.59,3.39,0.281,4.3,1.6,0.4590163934426229,0.6122448979591837,0.1639344262295081,0.1311475409836065,False
716475,Top_1st,1,Top,1,2023-09-22,641154,LAA,2023,5,1,7,9,3,3.66,1.15,3.33,10.86,2.23,3.28,0.301,3.0,0.2,0.25,0.2105263157894736,0.325,0.05,False
716477,Top_1st,0,Top,1,2023-09-22,641540,SEA,2023,4,3,2,9,3,3.7,1.26,4.27,7.3,2.87,4.39,0.2739999999999999,4.48,0.6,0.3404255319148936,0.4358974358974359,0.1914893617021276,0.1063829787234042,False
716479,Bot_1st,1,Bot,1,2023-09-22,605135,TB,2023,6,0,8,10,2,3.6,1.18,4.28,8.37,2.66,4.21,0.28,4.04,0.5,0.275,0.4857142857142857,0.375,0.1,True
716481,Top_1st,1,Top,1,2023-09-22,592836,NYM,2023,5,1,4,9,2,4.38,1.31,4.53,7.19,3.7,4.83,0.25,4.36,0.3,0.2857142857142857,0.3243243243243243,0.1904761904761904,0.0714285714285714,False
716482,Bot_1st,1,Bot,1,2023-09-22,669203,MIA,2023,2,2,6,11,0,3.39,1.07,3.81,9.29,3.07,3.8,0.292,3.38,0.9,0.3958333333333333,0.7142857142857143,0.25,0.1041666666666666,True
716483,Bot_1st,1,Bot,1,2023-09-22,665152,CLE,2023,7,2,3,9,5,4.12,1.31,4.51,8.18,2.87,4.34,0.261,4.93,0.7,0.4081632653061224,0.45,0.1632653061224489,0.1428571428571428,True
716485,Bot_1st,0,Bot,1,2023-09-22,450203,WSH,2023,0,2,1,5,0,3.64,1.43,3.87,10.08,4.57,4.27,0.307,4.64,0.5,0.3255813953488372,0.5526315789473685,0.3255813953488372,0.0697674418604651,True
716485,Top_1st,1,Top,1,2023-09-22,571578,ATL,2023,5,1,1,9,4,5.2,1.48,5.28,6.2,2.85,4.76,0.25,6.16,0.9,0.3617021276595745,0.8409090909090909,0.2127659574468085,0.0638297872340425,False
716491,Top_1st,1,Top,1,2023-09-21,571945,MIL,2023,9,1,4,9,6,4.78,1.32,4.27,6.12,1.74,4.76,0.25,5.44,0.6,0.4130434782608695,0.4473684210526316,0.1739130434782608,0.1521739130434782,False
716492,Bot_1st,1,Bot,1,2023-09-21,621244,NYY,2023,7,0,6,9,3,3.65,1.19,3.99,8.73,2.47,4.01,0.294,4.51,0.7,0.375,0.3181818181818182,0.2678571428571428,0.2142857142857142,True
716492,Top_1st,0,Top,1,2023-09-21,543037,TOR,2023,2,0,9,9,1,2.63,0.98,3.16,9.56,2.07,3.6,0.2769999999999999,3.48,0.3,0.1714285714285714,0.303030303030303,0.2571428571428571,0.0571428571428571,False
716493,Bot_1st,1,Bot,1,2023-09-21,670912,CHC,2023,4,6,5,9,0,4.31,1.37,4.49,8.0,4.2,4.87,0.265,4.61,0.4,0.3170731707317073,0.5294117647058824,0.1951219512195122,0.0975609756097561,True
716497,Bot_1st,0,Bot,1,2023-09-20,656605,CHC,2023,9,2,6,9,6,4.21,1.25,3.8,9.73,2.55,3.7,0.283,4.18,0.4,0.3,0.4848484848484848,0.2,0.1,True
716497,Top_1st,1,Top,1,2023-09-20,657006,PIT,2023,8,0,6,9,4,3.06,1.17,3.02,9.14,1.87,3.32,0.262,3.5,0.7,0.4117647058823529,0.4772727272727273,0.2745098039215686,0.1176470588235294,False
716498,Top_1st,1,Top,1,2023-09-21,621107,LAA,2023,6,1,10,9,2,3.5,1.02,3.01,9.42,1.22,3.12,0.302,3.02,0.3,0.25,0.2432432432432432,0.3,0.05,False
716499,Bot_1st,1,Bot,1,2023-09-20,657277,AZ,2023,9,2,4,9,3,3.25,1.07,3.16,8.08,1.29,2.95,0.293,3.63,0.8,0.2954545454545454,0.3684210526315789,0.2727272727272727,0.0681818181818181,True
716499,Top_1st,1,Top,1,2023-09-20,518876,SF,2023,3,3,5,11,1,3.29,1.19,3.85,9.47,3.5,3.83,0.276,4.1,0.7,0.3404255319148936,0.6829268292682927,0.2340425531914893,0.1063829787234042,False
716502,Bot_1st,0,Bot,1,2023-09-20,592332,NYY,2023,3,3,10,9,0,3.16,1.18,2.97,11.53,2.68,3.22,0.296,3.85,0.4,0.3636363636363636,0.1951219512195122,0.2727272727272727,0.2545454545454545,True
716503,Bot_1st,0,Bot,1,2023-09-20,673540,MIA,2023,7,2,3,10,2,2.98,1.22,3.63,10.93,4.17,3.77,0.28,3.87,0.9,0.4081632653061224,0.7209302325581395,0.2448979591836734,0.1020408163265306,True
716504,Bot_1st,1,Bot,1,2023-09-20,669923,OAK,2023,8,0,3,9,3,3.35,1.04,3.34,8.12,0.9,3.63,0.273,3.9,0.3,0.2682926829268293,0.3157894736842105,0.3170731707317073,0.073170731707317,True
716505,Bot_1st,1,Bot,1,2023-09-20,608337,KC,2023,7,3,6,9,4,4.88,1.31,5.27,9.96,3.56,4.45,0.288,4.61,1.2,0.4285714285714285,0.5217391304347826,0.125,0.125,True
716508,Bot_1st,0,Bot,1,2023-09-20,680694,HOU,2023,2,2,9,9,0,2.83,1.04,3.27,8.96,2.35,3.53,0.291,3.77,0.4,0.3181818181818182,0.4,0.2272727272727272,0.0909090909090909,True
716508,Top_1st,1,Top,1,2023-09-20,664299,BAL,2023,3,2,11,9,1,4.56,1.27,4.58,8.83,3.44,5.16,0.252,4.42,0.4,0.3488372093023256,0.4444444444444444,0.2790697674418604,0.1395348837209302,False
716509,Bot_1st,0,Bot,1,2023-09-20,605400,ATL,2023,6,0,8,9,2,4.46,1.15,4.03,9.39,2.09,3.63,0.296,3.71,0.7,0.3469387755102041,0.7142857142857143,0.2244897959183673,0.1224489795918367,True
716509,Top_1st,1,Top,1,2023-09-20,693821,PHI,2023,3,5,0,9,4,3.81,1.28,4.42,6.6,3.25,4.49,0.264,4.61,1.3,0.5,0.5681818181818182,0.1724137931034483,0.2068965517241379,False
716511,Top_1st,1,Top,1,2023-09-19,668678,SF,2023,6,3,6,9,4,3.47,1.12,3.26,9.43,2.01,3.49,0.285,4.16,0.6,0.3404255319148936,0.6190476190476191,0.2553191489361702,0.0851063829787234,False
716512,Bot_1st,1,Bot,1,2023-09-19,622491,OAK,2023,5,3,7,9,2,3.34,1.1,3.81,10.01,2.56,3.81,0.29,3.79,0.3,0.2682926829268293,0.2972972972972973,0.3658536585365853,0.0975609756097561,True
716514,Bot_1st,1,Bot,1,2023-09-19,502043,HOU,2023,5,2,5,9,3,4.73,1.32,4.13,7.36,2.58,4.13,0.272,4.8,0.4,0.3478260869565217,0.4390243902439024,0.1956521739130435,0.108695652173913,True
716516,Top_1st,0,Top,1,2023-09-19,605483,COL,2023,0,4,10,9,0,2.25,1.19,3.44,11.7,4.95,3.62,0.308,3.77,0.3,0.175,0.2368421052631578,0.275,0.025,False
716520,Bot_1st,1,Bot,1,2023-09-19,579328,NYY,2023,4,1,7,9,1,3.86,1.27,4.12,9.72,2.58,3.77,0.2789999999999999,4.3,0.4,0.3396226415094339,0.1951219512195122,0.2641509433962264,0.2264150943396226,True
716521,Top_1st,0,Top,1,2023-09-19,675911,PHI,2023,4,1,11,9,3,3.86,1.09,2.85,13.55,2.8,2.92,0.3379999999999999,3.09,1.2,0.4727272727272727,0.5581395348837209,0.2,0.1818181818181818,False
716527,Top_1st,0,Top,1,2023-09-18,676664,SEA,2023,6,5,6,9,4,4.54,1.26,5.15,8.41,2.77,5.1,0.255,4.64,0.9,0.4117647058823529,0.4634146341463415,0.2352941176470588,0.1568627450980392,False
716528,Top_1st,0,Top,1,2023-09-18,458681,DET,2023,6,3,6,9,3,5.73,1.39,5.53,9.36,3.28,4.5,0.265,4.86,0.5,0.4117647058823529,0.4222222222222222,0.3333333333333333,0.1176470588235294,False
716530,Top_1st,1,Top,1,2023-09-18,434378,BAL,2023,8,1,5,9,3,3.22,1.13,3.85,7.98,2.49,4.56,0.259,3.63,0.1,0.2631578947368421,0.1935483870967742,0.2894736842105263,0.1578947368421052,False
716531,Bot_1st,1,Bot,1,2023-09-18,642547,STL,2023,4,0,6,9,1,3.86,1.12,3.85,11.41,2.93,3.42,0.294,3.35,0.6,0.3023255813953488,0.3611111111111111,0.1162790697674418,0.1395348837209302,True
716532,Bot_1st,1,Bot,1,2023-09-18,554430,ATL,2023,3,2,5,9,1,3.61,1.08,3.15,9.94,1.83,3.54,0.275,3.18,0.7,0.3469387755102041,0.6585365853658537,0.1836734693877551,0.1224489795918367,True
716533,Top_1st,1,Top,1,2023-09-18,656756,BOS,2023,5,0,8,9,1,3.2,1.19,3.56,7.92,2.29,4.01,0.28,3.98,0.5,0.3584905660377358,0.5,0.2264150943396226,0.0566037735849056,False
716537,Top_1st,1,Top,1,2023-09-17,669302,LAD,2023,7,1,6,9,5,3.73,1.08,3.85,8.92,1.7,3.76,0.271,3.69,0.8,0.3617021276595745,0.625,0.1702127659574468,0.0851063829787234,False
716541,Bot_1st,0,Bot,1,2023-09-17,592836,STL,2023,8,1,3,9,5,4.38,1.31,4.53,7.19,3.7,4.83,0.25,4.36,0.6,0.3023255813953488,0.3714285714285714,0.1395348837209302,0.1395348837209302,True
716542,Bot_1st,1,Bot,1,2023-09-17,543243,CWS,2023,5,0,5,9,0,2.79,1.15,2.83,8.95,2.69,3.64,0.2789999999999999,3.66,1.0,0.3191489361702128,0.4651162790697674,0.2978723404255319,0.0425531914893617,True
716542,Top_1st,0,Top,1,2023-09-17,656302,MIN,2023,4,3,5,9,3,4.58,1.42,3.72,10.88,4.02,4.08,0.291,4.1,0.2,0.3023255813953488,0.2,0.3255813953488372,0.1860465116279069,False
716543,Bot_1st,1,Bot,1,2023-09-17,571578,MIL,2023,4,2,2,9,1,5.2,1.48,5.28,6.2,2.85,4.76,0.25,6.16,0.4,0.3488372093023256,0.3142857142857143,0.3023255813953488,0.1627906976744186,True
716546,Bot_1st,0,Bot,1,2023-09-17,450203,MIA,2023,6,6,5,9,6,3.64,1.43,3.87,10.08,4.57,4.27,0.307,4.64,0.9,0.4,0.7555555555555555,0.3,0.08,True
716546,Top_1st,0,Top,1,2023-09-17,666200,ATL,2023,4,3,8,9,0,3.58,1.21,3.55,10.48,2.77,3.72,0.299,3.96,0.8,0.3846153846153846,0.6976744186046512,0.173076923076923,0.1346153846153846,False
716547,Bot_1st,1,Bot,1,2023-09-17,664285,KC,2023,6,1,5,9,1,3.45,1.13,3.5,9.09,2.59,3.39,0.281,4.3,0.7,0.3529411764705882,0.2926829268292683,0.1372549019607843,0.1372549019607843,True
716547,Top_1st,1,Top,1,2023-09-17,543475,HOU,2023,6,3,6,9,4,6.28,1.24,5.62,6.08,2.28,5.34,0.238,4.93,0.4,0.3333333333333333,0.4146341463414634,0.2222222222222222,0.0888888888888888,False
716553,Top_1st,1,Top,1,2023-09-17,665152,TB,2023,2,2,5,9,1,4.12,1.31,4.51,8.18,2.87,4.34,0.261,4.93,0.8,0.3829787234042553,0.4473684210526316,0.3404255319148936,0.1702127659574468,False
716556,Bot_1st,1,Bot,1,2023-09-16,641154,CWS,2023,8,0,8,9,5,3.66,1.15,3.33,10.86,2.23,3.28,0.301,3.0,1.0,0.2978723404255319,0.4318181818181818,0.2978723404255319,0.0425531914893617,True
716557,Top_1st,1,Top,1,2023-09-16,571945,PHI,2023,8,0,2,9,5,4.78,1.32,4.27,6.12,1.74,4.76,0.25,5.44,1.4,0.4736842105263157,0.7021276595744681,0.2280701754385964,0.1578947368421052,False
716559,Top_1st,0,Top,1,2023-09-16,669203,WSH,2023,5,3,9,9,4,3.39,1.07,3.81,9.29,3.07,3.8,0.292,3.38,0.8,0.3181818181818182,0.6097560975609756,0.2045454545454545,0.0227272727272727,False
716562,Bot_1st,1,Bot,1,2023-09-16,641540,CLE,2023,6,4,5,9,0,3.7,1.26,4.27,7.3,2.87,4.39,0.2739999999999999,4.48,0.6,0.4042553191489361,0.4736842105263157,0.1276595744680851,0.1702127659574468,True
716566,Top_1st,1,Top,1,2023-09-16,605135,BOS,2023,4,3,5,9,2,3.6,1.18,4.28,8.37,2.66,4.21,0.28,4.04,0.5,0.3584905660377358,0.5,0.2830188679245283,0.0566037735849056,False
716567,Bot_1st,1,Bot,1,2023-09-15,657006,AZ,2023,7,2,5,9,6,3.06,1.17,3.02,9.14,1.87,3.32,0.262,3.5,0.5,0.25,0.4054054054054054,0.35,0.05,True
