game_pk,half_inning,label
716438,Bot_1st,1
716438,Top_1st,1
716439,Bot_1st,0
716439,Top_1st,1
716440,Bot_1st,1
716440,Top_1st,1
716441,Bot_1st,1
716441,Top_1st,1
716442,Bot_1st,1
716442,Top_1st,1
716443,Bot_1st,0
716443,Top_1st,1
716444,Bot_1st,1
716444,Top_1st,1
716445,Bot_1st,0
716445,Top_1st,0
716446,Bot_1st,1
716446,Top_1st,0
716447,Bot_1st,1
716447,Top_1st,1
716448,Bot_1st,1
716448,Top_1st,0
716449,Bot_1st,0
716449,Top_1st,0
716450,Bot_1st,1
716450,Top_1st,0
716451,Bot_1st,1
716451,Top_1st,0
716452,Bot_1st,1
716452,Top_1st,0
716453,Bot_1st,1
716453,Top_1st,0
716454,Bot_1st,0
716454,Top_1st,0
716455,Bot_1st,0
716455,Top_1st,1
716456,Bot_1st,0
716456,Top_1st,0
716457,Bot_1st,1
716457,Top_1st,1
716458,Bot_1st,1
716458,Top_1st,1
716459,Bot_1st,1
716459,Top_1st,1
716460,Bot_1st,1
716460,Top_1st,0
716461,Bot_1st,0
716461,Top_1st,1
716462,Bot_1st,1
716462,Top_1st,0
716463,Bot_1st,1
716463,Top_1st,1
716464,Bot_1st,0
716464,Top_1st,1
716465,Bot_1st,1
716465,Top_1st,1
716466,Bot_1st,0
716466,Top_1st,1
716467,Bot_1st,1
716467,Top_1st,0
716468,Bot_1st,0
716468,Top_1st,0
716469,Bot_1st,1
716469,Top_1st,0
716470,Bot_1st,0
716470,Top_1st,1
716471,Bot_1st,1
716471,Top_1st,1
716472,Bot_1st,1
716472,Top_1st,1
716473,Bot_1st,1
716473,Top_1st,1
716474,Bot_1st,1
716474,Top_1st,1
716475,Bot_1st,0
716475,Top_1st,1
716476,Bot_1st,1
716476,Top_1st,0
716477,Bot_1st,1
716477,Top_1st,0
716478,Bot_1st,1
716478,Top_1st,1
716479,Bot_1st,1
716479,Top_1st,0
716480,Bot_1st,1
716480,Top_1st,0
716481,Bot_1st,0
716481,Top_1st,1
716482,Bot_1st,1
716482,Top_1st,0
716483,Bot_1st,1
716483,Top_1st,1
716484,Bot_1st,0
716484,Top_1st,0
716485,Bot_1st,0
716485,Top_1st,1
716486,Bot_1st,1
716486,Top_1st,0
716487,Bot_1st,0
716487,Top_1st,0
716488,Bot_1st,0
716488,Top_1st,1
716489,Bot_1st,0
716489,Top_1st,0
716490,Bot_1st,1
716490,Top_1st,0
716491,Bot_1st,1
716491,Top_1st,1
716492,Bot_1st,1
716492,Top_1st,0
716493,Bot_1st,1
716493,Top_1st,1
716494,Bot_1st,0
716494,Top_1st,0
716495,Bot_1st,1
716495,Top_1st,1
716496,Bot_1st,0
716496,Top_1st,1
716497,Bot_1st,0
716497,Top_1st,1
716498,Bot_1st,1
716498,Top_1st,1
716499,Bot_1st,1
716499,Top_1st,1
716500,Bot_1st,1
716500,Top_1st,1
716501,Bot_1st,0
716501,Top_1st,1
716502,Bot_1st,0
716502,Top_1st,0
716503,Bot_1st,0
716503,Top_1st,1
716504,Bot_1st,1
716504,Top_1st,1
716505,Bot_1st,1
